# CE Backoff Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,HT20/VHT20,,,,,,,,,,,,,,,,,,,,HT40/VHT40,,,,,,,,,,,,,,,,,,,,VHT80,,,,,,,,,,,,,,,,,,,,VHT160,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Ch10,9.5,9.5,9.5,9.5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch11,9.5,9.5,9.5,9.5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch12,9.5,9.5,9.5,9.5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch13,9.5,9.5,9.5,9.5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch14,9.5,9.5,9.5,9.5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 5G Channel,CCK,,,,OFDM,,,,,,,HT20/VHT20,,,,,,,,,,,,,,,,,,,,HT40/VHT40,,,,,,,,,,,,,,,,,,,,VHT80,,,,,,,,,,,,,,,,,,,,VHT160,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 5G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch184,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch188,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch192,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch196,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch12,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch36,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,9.5,10.5,10.5,10,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,9.5,10.5,10.5,10,10.5,10.5,10.5,10.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch40,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,9.5,10.5,10.5,10,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,9.5,10.5,10.5,10,10.5,10.5,10.5,10.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch44,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,9.5,10.5,10.5,10,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,9.5,10.5,10.5,10,10.5,10.5,10.5,10.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch48,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,9.5,10.5,10.5,10,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,9.5,10.5,10.5,10,10.5,10.5,10.5,10.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch52,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch56,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch60,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch64,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch68,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch72,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch76,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch80,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch84,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch92,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch96,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch100,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch104,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch108,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch112,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch116,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch120,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch124,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch128,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch132,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch136,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch140,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch144,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,17,16.5,17.5,16.5,16.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
