# SKU Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,,BW20,,,,,,,,,,BW40,,,,,,,,,,,BW80,,,,,,,,,,BW160,,,,,,,,,,,,,,,,,
Band: 2.4G,CCK_1M,CCK_2M,CCK_5.5M,CCK_11M,OFDM_6M,OFDM_9M,OFDM_12M,OFDM_18M,OFDM_24M,OFDM36M,OFDM_48M,OFDM_54M,HT/VHT20_MCS0,HT/VHT20_MCS1,HT/VHT20_MCS2,HT/VHT20_MCS3,HT/VHT20_MCS4,HT/VHT20_MCS5,HT/VHT20_MCS6,HT/VHT20_MCS7,HT/VHT20_MCS8,HT/VHT20_MCS9,HT/VHT40_MCS0,HT/VHT40_MCS1,HT/VHT40_MCS2,HT/VHT40_MCS3,HT/VHT40_MCS4,HT/VHT40_MCS5,HT/VHT40_MCS6,HT/VHT40_MCS7,HT/VHT40_MCS8,HT/VHT40_MCS9,HT40_MCS32,VHT80_MCS0,VHT80_MCS1,VHT80_MCS2,VHT80_MCS3,VHT80_MCS4,VHT80_MCS5,VHT80_MCS6,VHT80_MCS7,VHT80_MCS8,VHT80_MCS9,VHT160_MCS0,VHT160_MCS1,VHT160_MCS2,VHT160_MCS3,VHT160_MCS4,VHT160_MCS5,VHT160_MCS6,VHT160_MCS7,VHT160_MCS8,VHT160_MCS9,,,,,,,,
Ch11,19,20,24,21,19,19,23,23,16,17,19,15,20,17,17,22,16,21,20,15,18,16,22,15,23,21,21,16,18,23,18,15,12,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,
Ch12,16,21,24,20,22,19,18,21,21,20,18,23,15,15,15,20,15,20,18,19,18,20,18,21,24,24,18,20,23,20,22,22,20,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,
Ch13,15,19,17,22,17,16,22,16,19,24,16,15,21,22,21,18,16,21,16,24,22,21,23,21,16,15,15,24,16,24,20,23,16,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,
Ch14,22,19,20,17,24,19,19,24,20,16,21,21,16,23,23,15,24,19,23,15,22,21,22,22,15,22,21,21,24,17,20,19,24,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 5G Channel,CCK,,,,OFDM,,,,,,,,BW20,,,,,,,,,,BW40,,,,,,,,,,,BW80,,,,,,,,,,BW160,,,,,,,,,,,,,,,,,
Band: 5G,CCK_1M,CCK_2M,CCK_5.5M,CCK_11M,OFDM_6M,OFDM_9M,OFDM_12M,OFDM_18M,OFDM_24M,OFDM36M,OFDM_48M,OFDM_54M,HT/VHT20_MCS0,HT/VHT20_MCS1,HT/VHT20_MCS2,HT/VHT20_MCS3,HT/VHT20_MCS4,HT/VHT20_MCS5,HT/VHT20_MCS6,HT/VHT20_MCS7,HT/VHT20_MCS8,HT/VHT20_MCS9,HT/VHT40_MCS0,HT/VHT40_MCS1,HT/VHT40_MCS2,HT/VHT40_MCS3,HT/VHT40_MCS4,HT/VHT40_MCS5,HT/VHT40_MCS6,HT/VHT40_MCS7,HT/VHT40_MCS8,HT/VHT40_MCS9,HT40_MCS32,VHT80_MCS0,VHT80_MCS1,VHT80_MCS2,VHT80_MCS3,VHT80_MCS4,VHT80_MCS5,VHT80_MCS6,VHT80_MCS7,VHT80_MCS8,VHT80_MCS9,VHT160_MCS0,VHT160_MCS1,VHT160_MCS2,VHT160_MCS3,VHT160_MCS4,VHT160_MCS5,VHT160_MCS6,VHT160_MCS7,VHT160_MCS8,VHT160_MCS9,,,,,,,,
Ch184,60,60,60,60,15,23,16,19,17,22,22,20,23,24,18,20,20,15,18,23,21,23,20,16,17,19,16,23,18,20,19,16,20,24,18,19,15,19,23,20,21,21,15,15,24,24,15,16,24,17,23,20,15,,,,,,,,
Ch188,60,60,60,60,22,17,20,19,19,20,23,24,19,19,18,24,21,20,22,15,15,21,24,19,21,20,18,20,16,19,18,15,19,24,19,22,17,17,20,20,18,22,22,24,19,18,18,16,16,18,15,22,15,,,,,,,,
Ch192,60,60,60,60,21,18,21,16,22,21,17,15,22,20,23,18,19,17,18,15,20,22,23,21,17,23,22,24,17,16,15,24,16,24,24,18,20,20,24,20,19,18,18,19,23,19,24,16,20,17,22,15,24,,,,,,,,
Ch196,60,60,60,60,22,19,24,24,16,23,17,16,21,18,15,24,20,24,21,23,17,24,15,20,16,23,17,21,16,15,24,16,15,18,22,17,17,19,22,21,15,17,15,22,15,24,16,23,23,23,24,24,15,,,,,,,,
Ch8,60,60,60,60,15,20,23,23,15,23,24,19,22,18,20,21,24,19,20,21,22,18,21,18,20,16,19,23,22,19,23,23,19,22,21,19,21,20,22,20,23,23,21,23,21,21,22,21,22,24,24,17,19,,,,,,,,
Ch12,60,60,60,60,17,18,16,17,20,18,19,16,17,17,24,22,24,24,16,22,17,17,24,23,21,23,18,19,20,17,24,22,17,15,15,17,15,18,17,22,21,19,15,24,15,15,16,19,21,23,19,17,23,,,,,,,,
Ch16,60,60,60,60,20,23,20,21,20,21,20,15,22,20,21,16,23,16,15,17,20,17,19,24,24,24,15,18,24,24,22,24,24,16,16,24,20,15,22,24,17,24,24,23,16,22,17,15,18,24,20,16,21,,,,,,,,
Ch36,60,60,60,60,17,18,17,15,22,24,17,19,24,24,24,21,18,24,21,19,17,16,20,24,18,16,19,24,19,20,15,24,20,16,20,21,22,18,15,22,16,24,16,16,23,21,19,21,21,15,16,18,24,,,,,,,,
Ch40,60,60,60,60,18,17,22,22,15,23,19,22,20,22,15,17,20,21,22,20,19,21,21,16,22,17,23,22,18,24,17,17,24,24,23,15,17,22,22,15,15,16,20,22,16,21,18,16,19,19,23,20,24,,,,,,,,
Ch44,60,60,60,60,16,23,24,19,23,19,22,24,22,20,19,24,20,17,18,20,21,23,24,21,16,21,24,24,24,23,19,17,23,23,20,22,21,21,17,18,24,15,22,20,24,18,17,15,24,24,19,24,18,,,,,,,,
Ch48,60,60,60,60,20,23,16,23,20,20,18,20,24,20,21,22,22,21,16,15,20,17,24,20,18,17,20,19,20,22,24,20,22,21,21,20,19,19,18,19,15,19,19,23,16,20,22,18,24,21,18,15,15,,,,,,,,
Ch52,60,60,60,60,22,16,17,18,15,22,15,21,15,24,16,15,15,23,17,22,16,24,23,16,18,23,22,20,24,23,23,16,23,19,22,23,24,24,23,19,22,18,17,17,23,24,22,19,23,17,15,21,21,,,,,,,,
Ch56,60,60,60,60,20,20,18,24,22,19,19,22,16,21,20,23,17,21,20,16,16,20,21,22,15,18,19,19,23,19,17,16,19,24,23,21,17,23,15,15,20,23,19,22,18,22,22,22,23,20,22,22,18,,,,,,,,
Ch60,60,60,60,60,15,20,15,22,16,16,18,15,19,22,18,19,23,21,17,15,23,16,18,18,21,23,15,17,19,24,16,16,24,18,19,23,16,21,19,22,19,23,23,22,16,17,18,16,17,22,22,17,19,,,,,,,,
Ch64,60,60,60,60,18,17,23,23,19,19,24,16,17,21,16,24,17,20,16,19,22,17,17,17,16,23,15,20,17,21,23,18,21,16,22,19,22,15,24,23,19,18,17,24,24,15,16,20,18,23,17,22,23,,,,,,,,
Ch68,60,60,60,60,18,18,19,16,20,20,18,16,18,21,17,22,20,15,15,24,20,17,21,18,23,22,23,17,23,18,20,20,18,21,17,19,23,16,17,23,21,24,20,22,19,23,18,15,24,17,22,19,24,,,,,,,,
Ch72,60,60,60,60,23,21,21,15,21,22,22,22,24,23,23,20,24,16,23,15,18,21,23,24,17,20,21,17,17,20,19,17,20,18,16,21,15,24,19,21,20,20,19,22,18,22,15,19,19,22,16,23,18,,,,,,,,
Ch76,60,60,60,60,21,24,24,17,16,22,24,23,18,17,24,16,22,18,17,21,20,19,23,23,23,20,18,22,21,21,17,16,21,22,18,24,16,20,21,23,21,24,19,16,22,24,15,23,20,17,17,16,22,,,,,,,,
Ch80,60,60,60,60,18,17,20,24,17,21,22,17,18,23,15,19,22,24,18,16,24,21,16,22,16,22,15,19,18,24,15,18,24,19,24,22,18,16,15,16,20,20,22,16,23,15,23,15,17,21,16,22,22,,,,,,,,
Ch84,60,60,60,60,24,23,24,19,22,16,23,23,20,16,21,18,22,24,15,22,15,16,24,20,18,15,21,24,18,17,24,21,17,18,20,20,19,22,15,20,18,18,21,24,20,20,24,18,18,17,23,21,15,,,,,,,,
Ch88,60,60,60,60,16,15,20,24,23,22,16,19,21,20,18,18,16,23,23,19,19,21,20,23,16,18,22,24,18,16,19,19,16,15,17,23,21,22,16,15,22,16,18,18,19,16,19,19,20,17,21,20,18,,,,,,,,
Ch92,60,60,60,60,18,15,23,20,18,18,16,24,20,21,23,22,17,18,22,16,22,23,21,19,24,20,15,24,21,20,15,18,20,23,21,24,23,17,21,18,24,24,15,24,23,21,17,24,22,17,21,24,23,,,,,,,,
Ch96,60,60,60,60,18,22,22,24,24,15,18,23,23,20,18,19,23,19,17,18,16,18,24,20,18,20,15,19,23,16,20,24,16,21,19,22,22,19,21,22,24,18,19,19,18,17,18,23,17,19,16,18,17,,,,,,,,
Ch100,60,60,60,60,19,16,15,21,24,18,24,24,15,16,24,16,21,24,19,23,24,16,19,23,19,18,20,22,19,19,21,24,19,20,19,24,22,20,18,16,15,23,22,19,21,21,24,23,21,15,17,15,23,,,,,,,,
Ch104,60,60,60,60,18,21,20,23,15,20,23,21,19,16,16,16,16,17,24,15,19,17,16,16,16,23,16,18,21,21,16,18,21,17,20,19,23,16,20,18,24,18,15,23,15,16,16,15,21,15,24,19,22,,,,,,,,
Ch108,60,60,60,60,17,22,20,16,15,19,19,24,18,24,15,15,15,19,22,20,22,15,16,17,18,18,20,17,21,24,23,19,24,16,15,20,21,15,19,18,22,19,19,16,17,22,17,20,18,21,22,16,20,,,,,,,,
Ch112,60,60,60,60,22,24,16,16,15,23,19,16,17,17,21,17,21,21,20,17,17,23,17,19,20,18,17,15,18,16,15,21,16,17,22,17,23,17,22,16,22,23,20,16,15,18,16,20,22,20,20,17,21,,,,,,,,
Ch116,60,60,60,60,18,21,22,22,17,21,17,24,20,19,22,23,17,24,16,22,19,15,16,20,21,19,21,21,19,16,15,23,16,15,22,18,17,21,21,15,21,22,19,19,20,19,15,22,21,18,16,22,20,,,,,,,,
Ch120,60,60,60,60,23,18,20,16,20,18,20,20,17,19,16,17,18,23,21,18,24,23,24,20,18,22,16,16,15,21,16,22,21,22,20,24,19,19,19,16,19,22,19,21,19,22,24,23,16,24,17,17,17,,,,,,,,
Ch124,60,60,60,60,17,23,19,22,16,18,21,22,22,20,23,20,20,21,21,16,18,19,19,24,16,22,22,18,15,16,19,22,16,15,15,17,15,23,18,17,24,20,18,22,17,22,15,23,16,22,15,20,15,,,,,,,,
Ch128,60,60,60,60,23,20,19,17,15,20,22,20,17,20,24,20,19,23,22,15,22,19,19,21,16,16,16,24,16,19,16,21,19,24,17,18,23,20,22,15,20,22,19,22,16,24,22,18,20,16,22,19,18,,,,,,,,
Ch132,60,60,60,60,20,20,20,16,24,19,17,20,21,15,15,20,24,19,17,17,17,16,24,18,24,20,24,15,17,15,21,21,15,23,24,18,19,19,19,23,21,22,15,17,22,20,20,24,16,15,16,18,17,,,,,,,,
Ch136,60,60,60,60,17,16,16,15,18,17,18,21,19,16,17,18,21,24,21,21,16,16,17,22,21,22,20,18,21,22,24,17,22,18,19,24,24,24,18,17,20,19,23,15,17,20,17,19,17,24,18,22,18,,,,,,,,
Ch140,60,60,60,60,22,21,15,20,20,17,19,20,23,20,20,23,18,15,18,18,18,15,19,19,16,16,18,16,18,17,22,16,17,22,22,23,23,15,22,19,24,23,17,17,20,21,22,15,15,16,20,23,16,,,,,,,,
Ch144,60,60,60,60,16,16,23,24,18,17,15,19,21,19,16,24,16,17,23,15,20,20,22,15,23,21,24,24,17,21,19,24,21,24,18,22,23,16,21,23,18,15,16,18,15,19,20,24,17,17,20,21,22,,,,,,,,
Ch149,60,60,60,60,16,17,22,18,18,16,18,19,15,19,24,19,21,22,20,21,15,23,20,21,19,19,16,17,23,24,24,18,24,17,16,22,16,24,17,18,17,19,23,15,23,19,15,20,17,21,23,19,23,,,,,,,,
Ch153,60,60,60,60,21,17,21,18,24,23,20,20,21,23,16,23,17,21,19,22,21,17,20,23,18,18,17,22,17,18,24,15,18,20,24,23,22,19,15,16,19,16,17,15,18,23,23,19,20,16,21,20,16,,,,,,,,
Ch157,60,60,60,60,20,21,18,21,21,24,20,15,17,19,15,16,23,15,15,21,22,23,19,17,17,16,23,15,16,17,22,17,17,16,16,15,15,19,17,19,24,20,21,17,18,20,20,19,22,15,19,17,20,,,,,,,,
Ch161,60,60,60,60,20,19,15,24,18,18,17,24,21,22,24,15,17,18,19,19,21,19,20,22,22,17,21,24,18,16,15,16,16,19,17,15,19,21,18,16,19,22,24,18,23,23,18,17,20,15,19,21,19,,,,,,,,
Ch165,60,60,60,60,22,22,20,23,22,18,19,24,16,17,20,22,23,21,23,17,21,20,16,23,23,17,18,19,20,16,24,16,16,18,24,23,24,20,16,21,21,23,24,24,23,19,18,22,16,18,18,16,24,,,,,,,,
Ch169,60,60,60,60,19,19,17,23,16,16,21,24,22,24,16,21,20,17,16,18,20,21,21,20,23,20,23,23,21,21,16,19,21,15,24,19,19,22,22,17,24,20,22,20,24,16,23,17,22,15,17,16,16,,,,,,,,
Ch173,60,60,60,60,15,18,24,17,22,18,19,20,19,22,21,16,24,24,24,15,22,19,18,16,21,23,20,23,22,17,17,23,17,17,23,18,24,18,24,15,20,19,24,16,17,21,16,23,18,19,22,16,16,,,,,,,,
Ch177,60,60,60,60,23,17,24,22,20,17,24,23,20,22,17,20,15,18,21,15,22,15,21,16,19,20,23,22,20,20,22,17,20,20,21,18,16,18,20,20,23,15,20,24,19,19,23,18,21,24,19,22,23,,,,,,,,
Ch181,60,60,60,60,16,20,19,18,23,24,19,16,19,16,16,24,20,20,15,18,23,19,19,19,15,22,17,23,18,15,21,20,15,24,17,20,15,15,17,16,18,18,22,19,20,20,19,23,20,15,19,24,23,,,,,,,,
